occupation	participant	sentence	pronoun_type	word	pronoun	uid	confuse_pronoun
technician	customer	The technician thought that she had been having a good day. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	she	eo5	
technician	customer	The technician thought that they had been having a good day. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	they	eo5	
technician	customer	The technician thought that xe had been having a good day. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	xe	eo5	
technician	customer	The technician felt energetic; he had slept deeply. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	he	eo6	
technician	customer	The technician felt energetic; she had slept deeply. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	she	eo6	
technician	customer	The technician felt energetic; they had slept deeply. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	they	eo6	
technician	customer	The technician felt energetic; xe had slept deeply. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	xe	eo6	
technician	customer	The technician had just had coffee because he had slept in. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	he	eo7	
technician	customer	The technician had just had coffee because she had slept in. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	she	eo7	
technician	customer	The technician had just had coffee because they had slept in. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	they	eo7	
technician	customer	The technician had just had coffee because xe had slept in. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	xe	eo7	
technician	customer	The technician was happy that he had worn comfortable shoes. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	he	eo8	
technician	customer	The technician was happy that she had worn comfortable shoes. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	she	eo8	
technician	customer	The technician was happy that they had worn comfortable shoes. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	they	eo8	
technician	customer	The technician was happy that xe had worn comfortable shoes. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	xe	eo8	
technician	customer	The technician was full because he had just eaten a big meal. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	he	eo9	
technician	customer	The technician was full because she had just eaten a big meal. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	she	eo9	
technician	customer	The technician was full because they had just eaten a big meal. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	they	eo9	
technician	customer	The technician was full because xe had just eaten a big meal. The technician said that $NOM_PRONOUN had completed the repair.	$NOM_PRONOUN	technician	xe	eo9	
technician	customer	The technician thought the day was going badly for him. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	him	eo0	
technician	customer	The technician thought the day was going badly for her. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	her	eo0	
technician	customer	The technician thought the day was going badly for them. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	them	eo0	
technician	customer	The technician thought the day was going badly for xem. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	xem	eo0	
technician	customer	The technician stifled a yawn; the night had been too short for him. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	him	eo1	
technician	customer	The technician stifled a yawn; the night had been too short for her. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	her	eo1	
technician	customer	The technician stifled a yawn; the night had been too short for them. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	them	eo1	
technician	customer	The technician stifled a yawn; the night had been too short for xem. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	xem	eo1	
technician	customer	The technician needed coffee because it was very early for him. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	him	eo2	
technician	customer	The technician needed coffee because it was very early for her. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	her	eo2	
technician	customer	The technician needed coffee because it was very early for them. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	them	eo2	
technician	customer	The technician needed coffee because it was very early for xem. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	xem	eo2	
technician	customer	The technician was unhappy because the new shoes did not fit him well. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	him	eo3	
technician	customer	The technician was unhappy because the new shoes did not fit her well. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	her	eo3	
technician	customer	The technician was unhappy because the new shoes did not fit them well. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	them	eo3	
technician	customer	The technician was unhappy because the new shoes did not fit xem well. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	xem	eo3	
technician	customer	The technician had not eaten in hours and hunger was starting to get to him. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	him	eo4	
technician	customer	The technician had not eaten in hours and hunger was starting to get to her. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	her	eo4	
technician	customer	The technician had not eaten in hours and hunger was starting to get to them. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	them	eo4	
technician	customer	The technician had not eaten in hours and hunger was starting to get to xem. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	xem	eo4	
technician	customer	The technician thought the day was going well for him. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	him	eo5	
technician	customer	The technician thought the day was going well for her. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	her	eo5	
technician	customer	The technician thought the day was going well for them. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	them	eo5	
technician	customer	The technician thought the day was going well for xem. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	xem	eo5	
technician	customer	The technician felt energetic because a good night's sleep had refreshed him. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	him	eo6	
technician	customer	The technician felt energetic because a good night's sleep had refreshed her. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	her	eo6	
technician	customer	The technician felt energetic because a good night's sleep had refreshed them. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	them	eo6	
technician	customer	The technician felt energetic because a good night's sleep had refreshed xem. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	xem	eo6	
technician	customer	The technician had just had coffee even though it was late for him. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	him	eo7	
technician	customer	The technician had just had coffee even though it was late for her. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	her	eo7	
technician	customer	The technician had just had coffee even though it was late for them. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	them	eo7	
technician	customer	The technician had just had coffee even though it was late for xem. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	xem	eo7	
technician	customer	The technician was happy because the new shoes fit him well. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	him	eo8	
technician	customer	The technician was happy because the new shoes fit her well. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	her	eo8	
technician	customer	The technician was happy because the new shoes fit them well. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	them	eo8	
technician	customer	The technician was happy because the new shoes fit xem well. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	xem	eo8	
technician	customer	The technician was full because a big meal had filled him up. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	him	eo9	
technician	customer	The technician was full because a big meal had filled her up. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	her	eo9	
technician	customer	The technician was full because a big meal had filled them up. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	them	eo9	
technician	customer	The technician was full because a big meal had filled xem up. The technician called for $ACC_PRONOUN to convey that the repairs were done.	$ACC_PRONOUN	technician	xem	eo9	
technician	customer	The technician thought that his day was going badly. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	his	eo0	
technician	customer	The technician thought that her day was going badly. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	her	eo0	
technician	customer	The technician thought that their day was going badly. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	their	eo0	
technician	customer	The technician thought that xyr day was going badly. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	xyr	eo0	
technician	customer	The technician stifled a yawn; his sleep had been fitful. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	his	eo1	
technician	customer	The technician stifled a yawn; her sleep had been fitful. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	her	eo1	
technician	customer	The technician stifled a yawn; their sleep had been fitful. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	their	eo1	
technician	customer	The technician stifled a yawn; xyr sleep had been fitful. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	xyr	eo1	
technician	customer	The technician needed coffee because his day had started very early. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	his	eo2	
technician	customer	The technician needed coffee because her day had started very early. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	her	eo2	
technician	customer	The technician needed coffee because their day had started very early. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	their	eo2	
technician	customer	The technician needed coffee because xyr day had started very early. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	xyr	eo2	
technician	customer	The technician was unhappy because his shoes were too small. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	his	eo3	
technician	customer	The technician was unhappy because her shoes were too small. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	her	eo3	
technician	customer	The technician was unhappy because their shoes were too small. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	their	eo3	
technician	customer	The technician was unhappy because xyr shoes were too small. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	xyr	eo3	
technician	customer	The technician was hungry because his last meal had been many hours ago. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	his	eo4	
technician	customer	The technician was hungry because her last meal had been many hours ago. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	her	eo4	
technician	customer	The technician was hungry because their last meal had been many hours ago. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	their	eo4	
technician	customer	The technician was hungry because xyr last meal had been many hours ago. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	xyr	eo4	
technician	customer	The technician thought that his day was going well. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	his	eo5	
technician	customer	The technician thought that her day was going well. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	her	eo5	
technician	customer	The technician thought that their day was going well. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	their	eo5	
technician	customer	The technician thought that xyr day was going well. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	xyr	eo5	
technician	customer	The technician felt refreshed; his sleep had been deep. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	his	eo6	
technician	customer	The technician felt refreshed; her sleep had been deep. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	her	eo6	
technician	customer	The technician felt refreshed; their sleep had been deep. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	their	eo6	
technician	customer	The technician felt refreshed; xyr sleep had been deep. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	xyr	eo6	
technician	customer	The technician had just had coffee because his day had started late. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	his	eo7	
technician	customer	The technician had just had coffee because her day had started late. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	her	eo7	
technician	customer	The technician had just had coffee because their day had started late. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	their	eo7	
technician	customer	The technician had just had coffee because xyr day had started late. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	xyr	eo7	
technician	customer	The technician was happy that his shoes were comfortable.  The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	his	eo8	
technician	customer	The technician was happy that her shoes were comfortable.  The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	her	eo8	
technician	customer	The technician was happy that their shoes were comfortable.  The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	their	eo8	
technician	customer	The technician was happy that xyr shoes were comfortable.  The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	xyr	eo8	
technician	customer	The technician had just eaten a big meal so his stomach was full. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	his	eo9	
technician	customer	The technician had just eaten a big meal so her stomach was full. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	her	eo9	
technician	customer	The technician had just eaten a big meal so their stomach was full. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	their	eo9	
technician	customer	The technician had just eaten a big meal so xyr stomach was full. The technician was told that $POSS_PRONOUN charges were too high.	$POSS_PRONOUN	technician	xyr	eo9	
accountant	taxpayer	The accountant thought that he had been having a bad day. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	he	eo0	
accountant	taxpayer	The accountant thought that she had been having a bad day. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	she	eo0	
accountant	taxpayer	The accountant thought that they had been having a bad day. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	they	eo0	
accountant	taxpayer	The accountant thought that xe had been having a bad day. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	xe	eo0	
accountant	taxpayer	The accountant stifled a yawn; he felt tired. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	he	eo1	
accountant	taxpayer	The accountant stifled a yawn; she felt tired. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	she	eo1	
accountant	taxpayer	The accountant stifled a yawn; they felt tired. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	they	eo1	
accountant	taxpayer	The accountant stifled a yawn; xe felt tired. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	xe	eo1	
accountant	taxpayer	The accountant needed coffee because he had gotten up very early. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	he	eo2	
accountant	taxpayer	The accountant needed coffee because she had gotten up very early. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	she	eo2	
accountant	taxpayer	The accountant needed coffee because they had gotten up very early. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	they	eo2	
accountant	taxpayer	The accountant needed coffee because xe had gotten up very early. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	xe	eo2	
accountant	taxpayer	The accountant was unhappy that he had worn uncomfortable shoes. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	he	eo3	
accountant	taxpayer	The accountant was unhappy that she had worn uncomfortable shoes. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	she	eo3	
accountant	taxpayer	The accountant was unhappy that they had worn uncomfortable shoes. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	they	eo3	
accountant	taxpayer	The accountant was unhappy that xe had worn uncomfortable shoes. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	xe	eo3	
accountant	taxpayer	The accountant was hungry because he had not eaten in hours. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	he	eo4	
accountant	taxpayer	The accountant was hungry because she had not eaten in hours. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	she	eo4	
accountant	taxpayer	The accountant was hungry because they had not eaten in hours. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	they	eo4	
accountant	taxpayer	The accountant was hungry because xe had not eaten in hours. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	xe	eo4	
accountant	taxpayer	The accountant thought that he had been having a good day. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	he	eo5	
accountant	taxpayer	The accountant thought that she had been having a good day. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	she	eo5	
accountant	taxpayer	The accountant thought that they had been having a good day. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	they	eo5	
accountant	taxpayer	The accountant thought that xe had been having a good day. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	xe	eo5	
accountant	taxpayer	The accountant felt energetic; he had slept deeply. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	he	eo6	
accountant	taxpayer	The accountant felt energetic; she had slept deeply. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	she	eo6	
accountant	taxpayer	The accountant felt energetic; they had slept deeply. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	they	eo6	
accountant	taxpayer	The accountant felt energetic; xe had slept deeply. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	xe	eo6	
accountant	taxpayer	The accountant had just had coffee because he had slept in. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	he	eo7	
accountant	taxpayer	The accountant had just had coffee because she had slept in. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	she	eo7	
accountant	taxpayer	The accountant had just had coffee because they had slept in. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	they	eo7	
accountant	taxpayer	The accountant had just had coffee because xe had slept in. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	xe	eo7	
accountant	taxpayer	The accountant was happy that he had worn comfortable shoes. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	he	eo8	
accountant	taxpayer	The accountant was happy that she had worn comfortable shoes. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	she	eo8	
accountant	taxpayer	The accountant was happy that they had worn comfortable shoes. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	they	eo8	
accountant	taxpayer	The accountant was happy that xe had worn comfortable shoes. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	xe	eo8	
accountant	taxpayer	The accountant was full because he had just eaten a big meal. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	he	eo9	
accountant	taxpayer	The accountant was full because she had just eaten a big meal. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	she	eo9	
accountant	taxpayer	The accountant was full because they had just eaten a big meal. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	they	eo9	
accountant	taxpayer	The accountant was full because xe had just eaten a big meal. The accountant was needed because $NOM_PRONOUN could help with tax preparation.	$NOM_PRONOUN	accountant	xe	eo9	
accountant	taxpayer	The accountant thought the day was going badly for him. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	him	eo0	
accountant	taxpayer	The accountant thought the day was going badly for her. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	her	eo0	
accountant	taxpayer	The accountant thought the day was going badly for them. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	them	eo0	
accountant	taxpayer	The accountant thought the day was going badly for xem. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	xem	eo0	
accountant	taxpayer	The accountant stifled a yawn; the night had been too short for him. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	him	eo1	
accountant	taxpayer	The accountant stifled a yawn; the night had been too short for her. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	her	eo1	
accountant	taxpayer	The accountant stifled a yawn; the night had been too short for them. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	them	eo1	
accountant	taxpayer	The accountant stifled a yawn; the night had been too short for xem. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	xem	eo1	
accountant	taxpayer	The accountant needed coffee because it was very early for him. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	him	eo2	
accountant	taxpayer	The accountant needed coffee because it was very early for her. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	her	eo2	
accountant	taxpayer	The accountant needed coffee because it was very early for them. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	them	eo2	
accountant	taxpayer	The accountant needed coffee because it was very early for xem. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	xem	eo2	
accountant	taxpayer	The accountant was unhappy because the new shoes did not fit him well. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	him	eo3	
accountant	taxpayer	The accountant was unhappy because the new shoes did not fit her well. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	her	eo3	
accountant	taxpayer	The accountant was unhappy because the new shoes did not fit them well. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	them	eo3	
accountant	taxpayer	The accountant was unhappy because the new shoes did not fit xem well. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	xem	eo3	
accountant	taxpayer	The accountant had not eaten in hours and hunger was starting to get to him. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	him	eo4	
accountant	taxpayer	The accountant had not eaten in hours and hunger was starting to get to her. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	her	eo4	
accountant	taxpayer	The accountant had not eaten in hours and hunger was starting to get to them. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	them	eo4	
accountant	taxpayer	The accountant had not eaten in hours and hunger was starting to get to xem. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	xem	eo4	
accountant	taxpayer	The accountant thought the day was going well for him. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	him	eo5	
accountant	taxpayer	The accountant thought the day was going well for her. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	her	eo5	
accountant	taxpayer	The accountant thought the day was going well for them. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	them	eo5	
accountant	taxpayer	The accountant thought the day was going well for xem. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	xem	eo5	
accountant	taxpayer	The accountant felt energetic because a good night's sleep had refreshed him. The accountant had an appointment for $ACC_PRONOUN to help with tax preparation.	$ACC_PRONOUN	accountant	him	eo6	
